1	DE	42003	DEBKGDL200002SUJ	ver01_l	53001	DEBKGDL20000INHL	ver06_l	\N
2	DE	42003	DEBKGDL200002SUL	ver01_l	53001	DEBKGDL20000INLB	ver06_l	\N
3	DE	42003	DEBKGDL200004LI0	ver01_l	53001	DEBKGDL20000INCI	ver06_l	\N
4	DE	42003	DEBKGDL20000787R	ver01_l	53001	DEBKGDL20000IN7O	ver06_l	\N
5	DE	42003	DEBKGDL200002QF4	ver01_l	53001	DEBKGDL20000IN4O	ver06_l	\N
6	DE	42003	DEBKGDL200007LTK	ver01_l	53001	DEBKGDL20000INOO	ver06_l	\N
7	DE	42003	DEBKGDL200002QFG	ver01_l	53001	DEBKGDL20000INPW	ver06_l	\N
8	DE	42003	DEBKGDL200002QFL	ver01_l	53001	DEBKGDL20000INHY	ver06_l	\N
9	DE	42003	DEBKGDL200003ZOV	ver01_l	53001	DEBKGDL20000IN62	ver06_l	\N
10	DE	42003	DEBKGDL200003DY4	ver01_l	53001	DEBKGDL20000IN61	ver06_l	\N
11	DE	42003	DEBKGDL200006RZ8	ver01_l	53001	DEBKGDL20000INRH	ver06_l	\N
12	DE	42003	DEBKGDL200003ZP6	ver01_l	53001	DEBKGDL20000INEW	ver06_l	\N
13	DE	42003	DEBKGDL200003ZP7	ver01_l	53001	DEBKGDL20000INOB	ver06_l	\N
14	DE	42003	DEBKGDL200003ZP9	ver01_l	53001	DEBKGDL20000INMJ	ver06_l	\N
15	DE	42003	DEBKGDL2000043LJ	ver01_l	53001	DEBKGDL20000INB4	ver06_l	\N
16	DE	42003	DEBKGDL2000043LK	ver01_l	53001	DEBKGDL20000INSF	ver06_l	\N
17	DE	42003	DEBKGDL2000043M0	ver01_l	53001	DEBKGDL20000INHE	ver06_l	\N
18	DE	42003	DEBKGDL2000043M2	ver01_l	53001	DEBKGDL20000JPJF	ver06_l	\N
19	DE	42003	DEBKGDL2000059QK	ver01_l	53001	DEBKGDL20000INEM	ver06_l	\N
20	DE	42003	DEBKGDL20000787W	ver01_l	53001	DEBKGDL20000INU7	ver06_l	\N
21	DE	42003	DEBKGDL200005XM9	ver01_l	53001	DEBKGDL20000INGO	ver06_l	\N
22	DE	42003	DEBKGDL200005XME	ver01_l	53001	DEBKGDL20000INHF	ver06_l	\N
23	DE	42003	DEBKGDL200005VT3	ver01_l	53001	DEBKGDL20000INBF	ver06_l	\N
24	DE	42003	DEBKGDL2000059B4	ver01_l	53001	DEBKGDL20000JPKT	ver06_l	\N
25	DE	42003	DEBKGDL20000SEI7	ver01_l	53001	DEBKGDL20000SEI8	ver06_l	\N
26	DE	42003	DEBKGDL20000SQRJ	ver01_l	53001	DEBKGDL20000SQRL	ver06_l	\N
27	DE	42003	DEBKGDL20000SV5C	ver01_l	53001	DEBKGDL20000SV5J	ver06_l	\N
28	DE	42003	DEBKGDL20000SV5H	ver01_l	53001	DEBKGDL200014IRL	ver06_l	\N
29	DE	42003	DEBKGDL200003ZP2	ver01_l	53001	DEBKGDL20000INN6	ver06_l	\N
30	DE	42003	DEBKGDL20001100B	ver01_l	53001	DEBKGDL20001100E	ver06_l	\N
31	DE	42003	DEBKGDL20001100A	ver01_l	53001	DEBKGDL20001100D	ver06_l	\N
32	DE	42003	DEBKGDL2000115QC	ver01_l	53001	DEBKGDL2000115QF	ver06_l	\N
33	DE	42003	DEBKGDL200007NO1	ver01_l	53001	DEBKGDL20000INO2	ver06_l	\N
34	DE	42003	DEBKGDL200007IN0	ver01_l	53001	DEBKGDL20000INDX	ver06_l	\N
35	DE	42003	DEBKGDL2000132SY	ver01_l	53001	DEBKGDL200018BFZ	ver06_l	\N
36	DE	42003	DEBKGDL2000043LW	ver01_l	53001	DEBKGDL20000INUM	ver06_l	\N
37	DE	42003	DEBKGDL2000059QM	ver01_l	53001	DEBKGDL20000INF0	ver06_l	\N
38	DE	42003	DEBKGDL200007V0J	ver01_l	53001	DEBKGDL20000INOF	ver06_l	\N
39	DE	42003	DEBKGDL200012OL7	ver01_l	53001	DEBKGDL200012OLI	ver06_l	\N
40	DE	42003	DEBKGDL2000025I2	ver01_l	53001	DEBKGDL20000IN50	ver06_l	\N
41	DE	42003	DEBKGDL200005XMJ	ver01_l	53001	DEBKGDL20000JPJ6	ver06_l	\N
42	DE	42003	DEBKGDL200014IRA	ver01_l	53001	DEBKGDL200014IRK	ver06_l	\N
43	DE	42003	DEBKGDL200014IQI	ver01_l	53001	DEBKGDL200014IRI	ver06_l	\N
44	DE	42003	DEBKGDL200003FWZ	ver01_l	53001	DEBKGDL20000INKX	ver06_l	\N
45	DE	42003	DEBKGDL200006PUP	ver01_l	53001	DEBKGDL20000IN7E	ver06_l	\N
46	DE	42003	DEBKGDL200007A65	ver01_l	53001	DEBKGDL20000IN9K	ver06_l	\N
47	DE	42003	DEBKGDL200004LCT	ver01_l	53001	DEBKGDL20000INOP	ver06_l	\N
48	DE	42003	DEBKGDL2000027WE	ver01_l	53001	DEBKGDL20000IN9L	ver06_l	\N
49	DE	42003	DEBKGDL200002QG1	ver01_l	53001	DEBKGDL20000INCF	ver06_l	\N
50	DE	42003	DEBKGDL200007TAI	ver01_l	53001	DEBKGDL20000INW4	ver06_l	\N
51	DE	42003	DEBKGDL200006NJ6	ver01_l	53001	DEBKGDL20000INAD	ver06_l	\N
52	DE	42003	DEBKGDL200003ELK	ver01_l	53001	DEBKGDL20000IN7U	ver06_l	\N
53	DE	42003	DEBKGDL200006O50	ver01_l	53001	DEBKGDL20000INFS	ver06_l	\N
